"meter_hours","frequency"
"2 HR Pas Mon-Sat 0900-1900","3969"
"2 HR Pas Mon-Sat 0800-1900","2145"
"2 HR Pas Mon-Sat 0830-1900","1898"
"2HR Pas Mon-Sat 0900-1900","545"
"3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400","241"
"2HR Pas Mon-Sat 0800-1900","221"
"2HR Pas Mon-Sat 0830-1900","190"
"3HR Com Mon-Sat 0700-1900","185"
"2 HR Pas Mon-Sat 0930-1900","153"
"2 HR Pas 0800-1900 Mon-Thur/4Hr Pas 0800-1900 Fri","137"
"3HR Com Mon-Fri 0700-1900","135"
"3HR Com Mon-Fri 0800-1800","132"
"3HR Com Mon-Fri 0800-1900","101"
"2HR Pas Mon-Sat 0830-2200","96"
"2HR Pas Mon-Sat 0800-2200","86"
"3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400","79"
"2 HR Pas Mon-Sat 1000-1900","70"
"2 HR Pas Mon-Sat 0900-2200","66"
"6HR Pas Mon-Fri 0800-2200","63"
"2 HR Pas Mon-Fri 0900-1900","58"
"2 HR Pas Mon-Sat 0730-1900","56"
"3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200","56"
"2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri","53"
"2 HR Pas Mon-Sat 0800-2200","53"
"2 HR Pas Mon-Sat 0900-1600","50"
"2HR Pas Mon-Sat 0730-1900","50"
"3HR Com Mon-Sat 0700-1900 /5HR Pas Mon-Sat 1900-2400","48"
"6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400","48"
"2 HR Pas Mon-Sat 0900-1700","43"
"2 HR Pas Mon-Sat 0900-1800","42"
"4HR Pas Mon-Sat 0700-2200","41"
"3HR Com Mon-Sat 0800-1900","41"
"2 HR Pas Mon-Fri 1000-1900 /2 HR Pas Sat 0800-1900","40"
"12HR Pas Mon-Sat 0700-1900","40"
"3HR Com Mon-Fri 1000-1400 /2HR Pas Sat 0900-1900","39"
"2 HR Pas 0900-1900 Mon-Thur / 4HR Pas 0900-1900 Fri","39"
"2HR Pas Mon-Sat 0900-2200","37"
"15HR Pas Mon-Sat 0800-2200","35"
"4HR Pas Mon-Sat 0900-1900","32"
"2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900","31"
"3HR Com Mon-Fri 0800-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200","30"
"3HR Com Mon-Fri 0600-1900","28"
"3HR Com Mon-Sat 1000-1600","28"
"2 HR Pas Mon-Sat 0830-2200","28"
"3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2200","27"
"3HR Com Mon-Fri 1000-1400 /2HR Pas Mon-Fri 1900-2200 /2HR Pas Sat 0900-2200","27"
"2 HR Pas Mon-Fri 1000-1600 /2 HR Pas Sat 0800-1900","26"
"3HR Com Mon-Fri 0700-1000 /2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900","25"
"3HR Pas Mon-Sat 0830-1900","24"
"3HR Com Mon-Sat 0700-1600","24"
"4HR Pas Mon-Sat 0800-2000","23"
"15HR Pas Mon-Sat 0700-2200","23"
"2 HR Pas Mon-Fri 1200-1600 /2 HR Pas Sat 0800-1900","23"
"3HR Com Mon-Sat 0900-1900","23"
"2 HR Pas Mon-Sat 0700-1900","23"
"2 HR Pas Mon-Fri 0800-1800","22"
"1HR Com Mon-Fri 0700-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400","22"
"2 HR Pas Mon-Fri 0800-1900","22"
"2 HR Pas Mon-Fri 1000-1600 /2 HR Pas Sat 0900-1900","22"
"6HR Pas Mon-Fri 0900-2200","22"
"2HR Pas Mon-Sat 0900-1600","22"
"2HR Pas Mon-Sat 1000-1900","22"
"2HR Pas Mon-Sat 0730-2200","21"
"3HR Com Mon-Sat 0700-1300 /5HR Pas Mon-Sat 1900-2400","21"
"3HR Com Mon-Fri 1000-1600","21"
"3HR Pas Mon-Sat 0700-2200","20"
