objectid,meter_number,status,meter_hours,facility,borough,on_street,side_of_street,latitude,longitude
11750,1083076,Active,2HR Pas Mon-Sat 0900-1900,On Street,Manhattan,West 85 Street,N,40.7875051180999,-73.9765950135923
9857,1443404,Active,3HR Com Mon-Fri 0800-1800,On Street,Manhattan,West 30 Street,N,40.7461997160805,-73.9869404709221
11780,1193006,Active,3HR Com Mon-Fri 0700-1000 /2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900,On Street,Manhattan,Lexington Avenue,W,40.7784865293823,-73.9564275260737
1111,4512493,Active,6HR Pas Mon-Fri 0900-2200,On Street,Queens,Kissena Boulevard,W,40.7354393855834,-73.8148380161902
10122,1443694,Active,2HR Pas Mon-Sat 0830-2200,On Street,Manhattan,3 Avenue,W,40.7399045161829,-73.9825104553208
4852,3403009,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Brooklyn,Herkimer Street,N,40.6796687964762,-73.9493132542893
15165,1273088,Active,2HR Pas Mon-Sat 0900-1900,On Street,Manhattan,Lexington Avenue,W,40.7862044275417,-73.9507652103515
10360,1443999,Active,3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200,On Street,Manhattan,East 40 Street,N,40.751193649883,-73.9793245225676
1294,2013055,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Bronx,Grand Concourse*W S/R,W,40.8590692136044,-73.8992450013655
7750,1409950,Active,3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300,On Street,Manhattan,9 Avenue,E,40.7638781928644,-73.9885256890533
7756,1409947,Active,3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300,On Street,Manhattan,9 Avenue,E,40.7655939558329,-73.9872675322689
6495,2173043,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Bronx,Guerlain Street,N,40.8402149356332,-73.8635093521195
29,4122382,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,84 Street,E,40.7480775785411,-73.8820603327511
9034,1243070,Active,2HR Pas Mon-Sat 0900-1900,On Street,Manhattan,Lafayette Street,E,40.7181314375449,-74.0007000359523
12190,2023043,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Bronx,3 Avenue,W,40.8197798061713,-73.913438186786
1745,3013615,Active,6HR Pas Mon-Sat 0800-2200,On Street,Brooklyn,Willoughby Street,S,40.6918980767255,-73.9794335305904
4861,3403054,Active,2 HR Pas Mon-Fri 1000-1600 /2 HR Pas Sat 0900-1900,On Street,Brooklyn,Nostrand Avenue,E,40.6789637888874,-73.9495732232511
5769,3602967,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Brooklyn,Coney Island Avenue,E,40.6389298043529,-73.9685702288659
12920,4383117,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,14 Avenue,N,40.7887726031795,-73.8143139780685
6496,2173042,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Bronx,Unionport Road,W,40.8405826109199,-73.8631012168656
3227,4221247,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Queens,37 Avenue,S,40.7511310749701,-73.871867183809
4524,3043054,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Brooklyn,Flatbush Avenue,W,40.6350724408049,-73.9501909236402
6700,2313039,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Bronx,Buhre Avenue,S,40.8474674700202,-73.8308726452099
14970,2173068,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Bronx,Unionport Road*Ctr. Mall,E,40.8354903417574,-73.8553417405676
3895,4353039,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,71 Street,E,40.7280381248625,-73.8924112081934
3714,4043047,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Queens,73 Avenue,W,40.7194587667037,-73.8384057312312
13409,4123039,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,37 Avenue,N,40.7494500759484,-73.8876550340477
11802,1013002,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Manhattan,West 125 Street,N,40.8069015356228,-73.9431976181051
9185,1323059,Active,2HR Pas Mon-Sat 0900-1900,On Street,Manhattan,Hudson Street,W,40.7291211118337,-74.007126314669
4851,3403010,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Brooklyn,Herkimer Street,S,40.6795724302609,-73.9492654562259
13626,4473128,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,Hillside Avenue,N,40.7373943940902,-73.7085101979452
1788,3013639,Active,2 HR Pas Sat 0900-1900,On Street,Brooklyn,Livingston Street,N,40.6900353862483,-73.9865754361515
6933,3213008,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Brooklyn,Utica Avenue,W,40.6648113063224,-73.9316062897503
8614,3013002,Active,2 HR Pas Mon-Sat 0730-1900,On Street,Brooklyn,Atlantic Avenue,S,40.6905137890576,-73.9956624072787
7318,2143001,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Bronx,East 161 Street,S,40.8274353698564,-73.9254614231469
1113,4512491,Active,6HR Pas Mon-Fri 0900-2200,On Street,Queens,Kissena Boulevard,W,40.7368285393022,-73.814781128942
11127,1433769,Active,3HR Com Mon-Sat 0700-1900,On Street,Manhattan,Madison Avenue,W,40.7613028789414,-73.9731951858944
8941,1133027,Active,2HR Pas Mon-Sat 0900-1900,On Street,Manhattan,Avenue A,E,40.7294005420291,-73.9809917632551
1780,3013538,Active,4HR Pas Mon-Sat 0900-1900,On Street,Brooklyn,Tillary Street,S,40.6959025745767,-73.9853929563852
465,1038113,Active,2HR Pas Mon-Sat 0900-1900,On Street,Manhattan,Amsterdam Avenue,E,40.7880746568947,-73.9746120509675
6932,3213009,Active,2 HR Pas Sat 0900-1900,On Street,Brooklyn,Utica Avenue,W,40.6641103257198,-73.931676319534
1781,3013537,Active,4HR Pas Mon-Sat 0900-1900,On Street,Brooklyn,Tillary Street,S,40.6959335084003,-73.9862206598552
928,1208012,Active,3HR Com Mon-Sat 0900-1900,On Street,Manhattan,3 Avenue,E,40.7733022433012,-73.9578668008098
15054,4413164,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,76 Street,W,40.7455245316179,-73.88933203894
4625,3183063,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Brooklyn,Smith Street,W,40.6851935408743,-73.991568731472
13852,4163121,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,Merrick Boulevard,S,40.6755625339707,-73.7391130732244
8824,1268499,Active,3HR Com Mon-Fri 1000-1400 /2HR Pas Sat 0900-1900,On Street,Manhattan,2 Avenue,W,40.7614567855717,-73.9638674251844
3779,4443140,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,Cross Bay Boulevard,E,40.6519612419496,-73.8378826468957
8869,1113017,Active,2HR Pas Mon-Sat 0700-2200,On Street,Manhattan,Church Street,E,40.7185737493319,-74.0049488247244
10213,1443734,Active,2HR Pas Mon-Sat 0830-2200,On Street,Manhattan,3 Avenue,W,40.7447933801704,-73.9789473856875
7565,4233001,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,21 Street,W,40.7577734399281,-73.9389780218364
6619,2293018,Active,2 HR Pas Mon-Sat 0730-1900,On Street,Bronx,Baychester Avenue,E,40.8807193650033,-73.8383177456187
103,4072218,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Queens,Broadway,S,40.7568028092375,-73.9145263627606
25,4122377,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,85 Street,W,40.7481723225088,-73.8812346124264
13295,4433057,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,154 Street,E,40.7199276663964,-73.8098369136778
1114,4512490,Active,6HR Pas Mon-Fri 0900-2200,On Street,Queens,Kissena Boulevard,W,40.7374713707385,-73.8148819042998
11911,1193044,Active,3HR Com Mon-Fri 0700-1900 /2HR Pas Sat 0900-1900,On Street,Manhattan,Lexington Avenue,E,40.773275242168,-73.9600213179129
7257,2203041,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Bronx,Boynton Avenue,E,40.8288402224896,-73.8782247755225
7527,2013056,Active,2 HR Pas Mon-Sat 0830-1900,On Street,Bronx,Grand Concourse,W,40.8583237804366,-73.8996950185111
1189,4152106,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Queens,Jackson Avenue,N,40.7443563873326,-73.9493408359169
12661,3083012,Active,2 HR Pas Mon-Sat 0900-1900,On Street,Brooklyn,Brighton 3 Street,E,40.5767884146408,-73.9640673533065
9763,1403092,Active,2HR Pas Mon-Sat 0900-1600,On Street,Manhattan,9 Avenue,W,40.769581375089,-73.9846234130594
5717,3413039,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Brooklyn,McDonald Avenue,W,40.6159561795869,-73.9744595131863
15272,3743021,Active,15HR Pas Mon-Sat 0800-2200,On Street,Brooklyn,3 Avenue,C,40.6593498552536,-74.002431795524
2866,4233035,Active,2 HR Pas Mon-Sat 0800-1900,On Street,Queens,23 Street,W,40.7643181367395,-73.9305693247287
9727,1403037,Active,1HR Com Mon-Sat 0700-1900,On Street,Manhattan,West 45 Street,S,40.759840727946,-73.9901166390705
10925,1433243,Active,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,On Street,Manhattan,East 54 Street,N,40.759490367359,-73.9715864554516
9731,1403041,Active,1HR Com Mon-Sat 0700-1900,On Street,Manhattan,West 45 Street,N,40.7601366343905,-73.9905972846326
9417,1443042,Active,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,On Street,Manhattan,West 38 Street,N,40.7519600026645,-73.9849573783224
10864,1433166,Active,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,On Street,Manhattan,East 47 Street,S,40.7540556374436,-73.9725237867596
